name,colorIdentity,colors,convertedManaCost,edhrecRank,keywords,power,subtypes,text,types
Dermoplasm,['U'],['U'],3.0,17708.0,"['Flying', 'Morph']",1,['Shapeshifter'],"Flying
Morph {2}{U}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
When Dermoplasm is turned face up, you may put a creature card with a morph ability from your hand onto the battlefield face up. If you do, return Dermoplasm to its owner's hand.",['Creature']
Descendant of Kiyomaro,['W'],['W'],3.0,22974.0,nan,2,"['Human', 'Soldier']","As long as you have more cards in hand than each opponent, Descendant of Kiyomaro gets +1/+2 and has ""Whenever this creature deals combat damage, you gain 3 life.""",['Creature']
Descendant of Masumaro,['G'],['G'],3.0,19784.0,nan,1,"['Human', 'Monk']","At the beginning of your upkeep, put a +1/+1 counter on Descendant of Masumaro for each card in your hand, then remove a +1/+1 counter from Descendant of Masumaro for each card in target opponent's hand.",['Creature']
Descendant of Soramaro,['U'],['U'],4.0,14507.0,nan,2,"['Human', 'Wizard']","{1}{U}: Look at the top X cards of your library, where X is the number of cards in your hand, then put them back in any order.",['Creature']
Descendants' Path,['G'],['G'],3.0,3236.0,nan,,[],"At the beginning of your upkeep, reveal the top card of your library. If it's a creature card that shares a creature type with a creature you control, you may cast it without paying its mana cost. If you don't cast it, put it on the bottom of your library.",['Enchantment']
Descent into Madness,['B'],['B'],5.0,16078.0,nan,,[],"At the beginning of your upkeep, put a despair counter on Descent into Madness, then each player exiles X permanents they control and/or cards from their hand, where X is the number of despair counters on Descent into Madness.",['Enchantment']
Descent of the Dragons,['R'],['R'],6.0,6956.0,nan,,[],"Destroy any number of target creatures. For each creature destroyed this way, its controller creates a 4/4 red Dragon creature token with flying.",['Sorcery']
Desecrated Earth,['B'],['B'],5.0,21158.0,nan,,[],Destroy target land. Its controller discards a card.,['Sorcery']
Desecrated Tomb,[],[],3.0,2598.0,nan,,[],"Whenever one or more creature cards leave your graveyard, create a 1/1 black Bat creature token with flying.",['Artifact']
Desecration Elemental,['B'],['B'],4.0,9761.0,['Fear'],8,['Elemental'],"Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)
Whenever a player casts a spell, sacrifice a creature.",['Creature']
Desecration Plague,['G'],['G'],4.0,16332.0,nan,,[],Destroy target enchantment or land.,['Sorcery']
Desert,[],[],0.0,3977.0,nan,,['Desert'],"{T}: Add {C}.
{T}: Desert deals 1 damage to target attacking creature. Activate only during the end of combat step.",['Land']
Desert Cerodon,['R'],['R'],6.0,12915.0,['Cycling'],6,['Beast'],"Cycling {R} ({R}, Discard this card: Draw a card.)",['Creature']
Deserted Temple,[],[],0.0,3485.0,nan,,[],"{T}: Add {C}.
{1}, {T}: Untap target land.",['Land']
Deserter's Quarters,[],[],2.0,21848.0,nan,,[],"You may choose not to untap Deserter's Quarters during your untap step.
{6}, {T}: Tap target creature. It doesn't untap during its controller's untap step for as long as Deserter's Quarters remains tapped.",['Artifact']
Desiccated Naga,['B'],['B'],3.0,20374.0,nan,3,"['Zombie', 'Naga']",{3}{B}: Target opponent loses 2 life and you gain 2 life. Activate only if you control a Liliana planeswalker.,['Creature']
Desolate Lighthouse,"['R', 'U']",[],0.0,1899.0,nan,,[],"{T}: Add {C}.
{1}{U}{R}, {T}: Draw a card, then discard a card.",['Land']
Desolation,['B'],['B'],3.0,7318.0,nan,,[],"At the beginning of each end step, each player who tapped a land for mana this turn sacrifices a land. Desolation deals 2 damage to each player who sacrificed a Plains this way.",['Enchantment']
Desolation Angel,"['B', 'W']",['B'],5.0,15868.0,"['Flying', 'Kicker']",5,['Angel'],"Kicker {W}{W} (You may pay an additional {W}{W} as you cast this spell.)
Flying
When Desolation Angel enters the battlefield, destroy all lands you control. If it was kicked, destroy all lands instead.",['Creature']
Desolation Giant,"['R', 'W']",['R'],4.0,13068.0,['Kicker'],3,['Giant'],"Kicker {W}{W} (You may pay an additional {W}{W} as you cast this spell.)
When Desolation Giant enters the battlefield, destroy all other creatures you control. If it was kicked, destroy all other creatures instead.",['Creature']
Desolation Twin,[],[],10.0,1893.0,nan,10,['Eldrazi'],"When you cast this spell, create a 10/10 colorless Eldrazi creature token.",['Creature']
Desperate Charge,['B'],['B'],3.0,23636.0,nan,,[],Creatures you control get +2/+0 until end of turn.,['Sorcery']
Desperate Gambit,['R'],['R'],1.0,9753.0,nan,,[],"Choose a source you control and flip a coin. If you win the flip, the next time that source would deal damage this turn, it deals double that damage instead. If you lose the flip, the next time it would deal damage this turn, prevent that damage.",['Instant']
Desperate Lunge,['W'],['W'],2.0,18667.0,nan,,[],Target creature gets +2/+2 and gains flying until end of turn. You gain 2 life.,['Instant']
Desperate Ravings,"['R', 'U']",['R'],2.0,8094.0,['Flashback'],,[],"Draw two cards, then discard a card at random.
Flashback {2}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",['Instant']
Desperate Research,['B'],['B'],2.0,19836.0,nan,,[],Choose a card name other than a basic land card name. Reveal the top seven cards of your library and put all of them with that name into your hand. Exile the rest.,['Sorcery']
Desperate Ritual,['R'],['R'],2.0,1445.0,['Splice'],,['Arcane'],"Add {R}{R}{R}.
Splice onto Arcane {1}{R} (As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)",['Instant']
Desperate Sentry,['W'],['W'],3.0,16382.0,['Delirium'],1,"['Human', 'Soldier']","When Desperate Sentry dies, create a 3/2 colorless Eldrazi Horror creature token.
Delirium — Desperate Sentry gets +3/+0 as long as there are four or more card types among cards in your graveyard.",['Creature']
Desperate Stand,"['R', 'W']","['R', 'W']",2.0,16125.0,['Strive'],,[],"Strive — This spell costs {R}{W} more to cast for each target beyond the first.
Any number of target creatures each get +2/+0 and gain first strike and vigilance until end of turn.",['Sorcery']
Despise,['B'],['B'],1.0,10421.0,nan,,[],Target opponent reveals their hand. You choose a creature or planeswalker card from it. That player discards that card.,['Sorcery']
Despoil,['B'],['B'],4.0,20151.0,nan,,[],Destroy target land. Its controller loses 2 life.,['Sorcery']
Despondency,['B'],['B'],2.0,14281.0,['Enchant'],,['Aura'],"Enchant creature
Enchanted creature gets -2/-0.
When Despondency is put into a graveyard from the battlefield, return Despondency to its owner's hand.",['Enchantment']
Destined // Lead,"['B', 'G']",['G'],6.0,12407.0,['Aftermath'],,[],"Aftermath (Cast this spell only from your graveyard. Then exile it.)
All creatures able to block target creature this turn do so.",['Sorcery']
Destiny Spinner,['G'],['G'],2.0,468.0,nan,2,['Human'],"Creature and enchantment spells you control can't be countered.
{3}{G}: Target land you control becomes an X/X Elemental creature with trample and haste until end of turn, where X is the number of enchantments you control. It's still a land.","['Enchantment', 'Creature']"
Destroy the Evidence,['B'],['B'],5.0,15574.0,nan,,[],"Destroy target land. Its controller reveals cards from the top of their library until they reveal a land card, then puts those cards into their graveyard.",['Sorcery']
Destructive Digger,['R'],['R'],3.0,16271.0,nan,3,['Goblin'],"{3}, {T}, Sacrifice an artifact or land: Draw a card.",['Creature']
Destructive Flow,"['B', 'G', 'R']","['B', 'G', 'R']",3.0,12519.0,nan,,[],"At the beginning of each player's upkeep, that player sacrifices a nonbasic land.",['Enchantment']
Destructive Force,['R'],['R'],7.0,10891.0,nan,,[],Each player sacrifices five lands. Destructive Force deals 5 damage to each creature.,['Sorcery']
Destructive Revelry,"['G', 'R']","['G', 'R']",2.0,5564.0,nan,,[],Destroy target artifact or enchantment. Destructive Revelry deals 2 damage to that permanent's controller.,['Instant']
Destructive Tampering,['R'],['R'],3.0,12015.0,nan,,[],"Choose one —
• Destroy target artifact.
• Creatures without flying can't block this turn.",['Sorcery']
Destructive Urge,['R'],['R'],3.0,14229.0,['Enchant'],,['Aura'],"Enchant creature
Whenever enchanted creature deals combat damage to a player, that player sacrifices a land.",['Enchantment']
Destructor Dragon,['G'],['G'],6.0,9409.0,['Flying'],4,['Dragon'],"Flying
When Destructor Dragon dies, destroy target noncreature permanent.",['Creature']
Detection Tower,[],[],0.0,2222.0,nan,,[],"{T}: Add {C}.
{1}, {T}: Until end of turn, your opponents and creatures your opponents control with hexproof can be the targets of spells and abilities you control as though they didn't have hexproof.",['Land']
Detritivore,['R'],['R'],4.0,11403.0,['Suspend'],*,['Lhurgoyf'],"Detritivore's power and toughness are each equal to the number of nonbasic land cards in your opponents' graveyards.
Suspend X—{X}{3}{R}. X can't be 0. (Rather than cast this card from your hand, you may pay {X}{3}{R} and exile it with X time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)
Whenever a time counter is removed from Detritivore while it's exiled, destroy target nonbasic land.",['Creature']
Deus of Calamity,"['G', 'R']","['G', 'R']",5.0,11083.0,['Trample'],6,"['Spirit', 'Avatar']","Trample
Whenever Deus of Calamity deals 6 or more damage to an opponent, destroy target land that player controls.",['Creature']
Devastate,['R'],['R'],5.0,20703.0,nan,,[],Destroy target land. Devastate deals 1 damage to each creature and each player.,['Sorcery']
Devastating Dreams,['R'],['R'],2.0,16177.0,nan,,[],"As an additional cost to cast this spell, discard X cards at random.
Each player sacrifices X lands. Devastating Dreams deals X damage to each creature.",['Sorcery']
Devastating Mastery,['W'],['W'],6.0,7473.0,nan,,[],"You may pay {2}{W}{W} rather than pay this spell's mana cost.
If the {2}{W}{W} cost was paid, an opponent chooses up to two nonland permanents they control and returns them to their owner's hand.
Destroy all nonland permanents.",['Sorcery']
Devastating Summons,['R'],['R'],1.0,15614.0,nan,,[],"As an additional cost to cast this spell, sacrifice X lands.
Create two X/X red Elemental creature tokens.",['Sorcery']
Devastation,['R'],['R'],7.0,11260.0,nan,,[],Destroy all creatures and lands.,['Sorcery']
Devastation Tide,['U'],['U'],5.0,2087.0,['Miracle'],,[],"Return all nonland permanents to their owners' hands.
Miracle {1}{U} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)",['Sorcery']
Deviant Glee,"['B', 'R']",['B'],1.0,17780.0,['Enchant'],,['Aura'],"Enchant creature
Enchanted creature gets +2/+1 and has ""{R}: This creature gains trample until end of turn.""",['Enchantment']
Devilish Valet,['R'],['R'],3.0,4083.0,"['Alliance', 'Haste', 'Trample']",1,"['Devil', 'Warrior']","Trample, haste
Alliance — Whenever another creature enters the battlefield under your control, double Devilish Valet's power until end of turn.",['Creature']
Devils' Playground,['R'],['R'],6.0,8735.0,nan,,[],"Create four 1/1 red Devil creature tokens. They have ""When this creature dies, it deals 1 damage to any target.""",['Sorcery']
Devkarin Dissident,['G'],['G'],2.0,21075.0,nan,2,"['Elf', 'Warrior']",{4}{G}: Devkarin Dissident gets +2/+2 until end of turn.,['Creature']
Devoted Caretaker,['W'],['W'],1.0,10871.0,nan,1,"['Human', 'Cleric']","{W}, {T}: Target permanent you control gains protection from instant spells and from sorcery spells until end of turn.",['Creature']
Devoted Crop-Mate,['W'],['W'],3.0,15381.0,['Exert'],3,"['Human', 'Warrior']","You may exert Devoted Crop-Mate as it attacks. When you do, return target creature card with mana value 2 or less from your graveyard to the battlefield. (An exerted creature won't untap during your next untap step.)",['Creature']
Devoted Druid,['G'],['G'],2.0,1120.0,nan,0,"['Elf', 'Druid']","{T}: Add {G}.
Put a -1/-1 counter on Devoted Druid: Untap Devoted Druid.",['Creature']
Devoted Retainer,['W'],['W'],1.0,12374.0,['Bushido'],1,"['Human', 'Samurai']","Bushido 1 (Whenever this creature blocks or becomes blocked, it gets +1/+1 until end of turn.)",['Creature']
Devotee of Strength,['G'],['G'],3.0,23297.0,nan,3,"['Naga', 'Wizard']",{4}{G}: Target creature gets +2/+2 until end of turn.,['Creature']
Devour Flesh,['B'],['B'],2.0,14105.0,nan,,[],"Target player sacrifices a creature, then gains life equal to that creature's toughness.",['Instant']
Devour in Flames,['R'],['R'],3.0,17362.0,nan,,[],"As an additional cost to cast this spell, return a land you control to its owner's hand.
Devour in Flames deals 5 damage to target creature or planeswalker.",['Sorcery']
Devour in Shadow,['B'],['B'],2.0,9961.0,nan,,[],Destroy target creature. It can't be regenerated. You lose life equal to that creature's toughness.,['Instant']
Devourer of Memory,"['B', 'U']","['B', 'U']",2.0,13985.0,['Mill'],2,['Nightmare'],"Whenever one or more cards are put into your graveyard from your library, Devourer of Memory gets +1/+1 until end of turn and can't be blocked this turn.
{1}{U}{B}: Mill a card.",['Creature']
Devouring Greed,['B'],['B'],4.0,14092.0,nan,,['Arcane'],"As an additional cost to cast this spell, you may sacrifice any number of Spirits.
Target player loses 2 life plus 2 life for each Spirit sacrificed this way. You gain that much life.",['Sorcery']
Devouring Hellion,['R'],['R'],3.0,15949.0,nan,2,['Hellion'],"As Devouring Hellion enters the battlefield, you may sacrifice any number of creatures and/or planeswalkers. If you do, it enters with twice that many +1/+1 counters on it.",['Creature']
Devouring Rage,['R'],['R'],5.0,18626.0,nan,,['Arcane'],"As an additional cost to cast this spell, you may sacrifice any number of Spirits.
Target creature gets +3/+0 until end of turn. For each Spirit sacrificed this way, that creature gets an additional +3/+0 until end of turn.",['Instant']
Devouring Strossus,['B'],['B'],8.0,16850.0,"['Flying', 'Trample']",9,"['Phyrexian', 'Horror']","Flying, trample
At the beginning of your upkeep, sacrifice a creature.
Sacrifice a creature: Regenerate Devouring Strossus.",['Creature']
Devout Chaplain,['W'],['W'],3.0,4286.0,nan,2,"['Human', 'Cleric']","{T}, Tap two untapped Humans you control: Exile target artifact or enchantment.",['Creature']
Devout Decree,['W'],['W'],2.0,19140.0,['Scry'],,[],Exile target creature or planeswalker that's black or red. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.),['Sorcery']
Devout Harpist,['W'],['W'],1.0,19755.0,nan,1,['Human'],{T}: Destroy target Aura attached to a creature.,['Creature']
Devout Invocation,['W'],['W'],7.0,8427.0,nan,,[],Tap any number of untapped creatures you control. Create a 4/4 white Angel creature token with flying for each creature tapped this way.,['Sorcery']
Devout Lightcaster,['W'],['W'],3.0,17652.0,['Protection'],2,"['Kor', 'Cleric']","Protection from black
When Devout Lightcaster enters the battlefield, exile target black permanent.",['Creature']
Devout Witness,['W'],['W'],3.0,13128.0,nan,2,"['Human', 'Spellshaper']","{1}{W}, {T}, Discard a card: Destroy target artifact or enchantment.",['Creature']
Dewdrop Spy,['U'],['U'],3.0,17585.0,"['Flash', 'Flying']",2,"['Faerie', 'Rogue']","Flash
Flying
When Dewdrop Spy enters the battlefield, look at the top card of target player's library.",['Creature']
Dhund Operative,['B'],['B'],2.0,15408.0,nan,2,"['Human', 'Rogue']","As long as you control an artifact, Dhund Operative gets +1/+0 and has deathtouch.",['Creature']
Diabolic Edict,['B'],['B'],2.0,7017.0,nan,,[],Target player sacrifices a creature.,['Instant']
Diabolic Revelation,['B'],['B'],5.0,6380.0,nan,,[],"Search your library for up to X cards, put those cards into your hand, then shuffle.",['Sorcery']
Diabolic Tutor,['B'],['B'],4.0,242.0,nan,,[],"Search your library for a card, put that card into your hand, then shuffle.",['Sorcery']
Diamond Faerie Avatar,[],[],0.0,,nan,,[],{S}: Target creature you control gets +1/+1 until end of turn.,['Vanguard']
Diamond Kaleidoscope,[],[],4.0,19380.0,nan,,[],"{3}, {T}: Create a 0/1 colorless Prism artifact creature token.
Sacrifice a Prism token: Add one mana of any color.",['Artifact']
Diamond Knight,[],[],3.0,12041.0,['Vigilance'],1,['Knight'],"Vigilance (Attacking doesn't cause this creature to tap.)
As Diamond Knight enters the battlefield, choose a color.
Whenever you cast a spell of the chosen color, put a +1/+1 counter on Diamond Knight.","['Artifact', 'Creature']"
Diamond Mare,[],[],2.0,8384.0,nan,1,['Horse'],"As Diamond Mare enters the battlefield, choose a color.
Whenever you cast a spell of the chosen color, you gain 1 life.","['Artifact', 'Creature']"
Dichotomancy,['U'],['U'],9.0,21963.0,['Suspend'],,[],"For each tapped nonland permanent target opponent controls, search that player's library for a card with the same name as that permanent. Put those cards onto the battlefield under your control, then that player shuffles.
Suspend 3—{1}{U}{U} (Rather than cast this card from your hand, you may pay {1}{U}{U} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)",['Sorcery']
Dictate of Erebos,['B'],['B'],5.0,444.0,['Flash'],,[],"Flash
Whenever a creature you control dies, each opponent sacrifices a creature.",['Enchantment']
Dictate of Karametra,['G'],['G'],5.0,3295.0,['Flash'],,[],"Flash
Whenever a player taps a land for mana, that player adds one mana of any type that land produced.",['Enchantment']
Dictate of the Twin Gods,['R'],['R'],5.0,1448.0,['Flash'],,[],"Flash
If a source would deal damage to a permanent or player, it deals double that damage to that permanent or player instead.",['Enchantment']
Didgeridoo,[],[],1.0,11169.0,nan,,[],{3}: You may put a Minotaur permanent card from your hand onto the battlefield.,['Artifact']
Didn't Say Please,['U'],['U'],3.0,2444.0,['Mill'],,[],Counter target spell. Its controller mills three cards.,['Instant']
Die Young,['B'],['B'],2.0,14971.0,nan,,[],"Choose target creature. You get {E}{E} (two energy counters), then you may pay any amount of {E}. The creature gets -1/-1 until end of turn for each {E} paid this way.",['Sorcery']
Dihada's Ploy,"['B', 'U']","['B', 'U']",3.0,7397.0,['Jump-start'],,[],"Draw two cards, then discard a card. You gain life equal to the number of cards you've discarded this turn.
Jump-start (You may cast this card from your graveyard by discarding a card in addition to paying its other costs. Then exile this card.)",['Instant']
Diligent Excavator,['U'],['U'],2.0,11302.0,['Mill'],1,"['Human', 'Artificer']","Whenever you cast a historic spell, target player mills two cards. (Artifacts, legendaries, and Sagas are historic.)",['Creature']
Diligent Farmhand,['G'],['G'],1.0,4724.0,nan,1,"['Human', 'Druid']","{1}{G}, Sacrifice Diligent Farmhand: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
If Diligent Farmhand is in a graveyard, effects from spells named Muscle Burst count it as a card named Muscle Burst.",['Creature']
Dimensional Breach,['W'],['W'],7.0,14496.0,nan,,[],"Exile all permanents. For as long as any of those cards remain exiled, at the beginning of each player's upkeep, that player returns one of the exiled cards they own to the battlefield.",['Sorcery']
Dimensional Infiltrator,['U'],[],2.0,13231.0,"['Devoid', 'Flash', 'Flying']",2,['Eldrazi'],"Devoid (This card has no color.)
Flash
Flying
{1}{C}: Target opponent exiles the top card of their library. If it's a land card, you may return Dimensional Infiltrator to its owner's hand. ({C} represents colorless mana.)",['Creature']
Diminish,['U'],['U'],1.0,13951.0,nan,,[],Target creature has base power and toughness 1/1 until end of turn.,['Instant']
Dimir Cluestone,"['B', 'U']",[],3.0,5710.0,nan,,[],"{T}: Add {U} or {B}.
{U}{B}, {T}, Sacrifice Dimir Cluestone: Draw a card.",['Artifact']
Dimir Cutpurse,"['B', 'U']","['B', 'U']",3.0,9936.0,nan,2,['Spirit'],"Whenever Dimir Cutpurse deals combat damage to a player, that player discards a card and you draw a card.",['Creature']
Dimir Guildgate,"['B', 'U']",[],0.0,943.0,nan,,['Gate'],"Dimir Guildgate enters the battlefield tapped.
{T}: Add {U} or {B}.",['Land']
Dimir Guildmage,"['B', 'U']","['B', 'U']",2.0,15116.0,nan,2,"['Human', 'Wizard']","({U/B} can be paid with either {U} or {B}.)
{3}{U}: Target player draws a card. Activate only as a sorcery.
{3}{B}: Target player discards a card. Activate only as a sorcery.",['Creature']
Dimir House Guard,['B'],['B'],4.0,3512.0,"['Fear', 'Transmute']",2,['Skeleton'],"Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)
Sacrifice a creature: Regenerate Dimir House Guard.
Transmute {1}{B}{B} ({1}{B}{B}, Discard this card: Search your library for a card with the same mana value as this card, reveal it, put it into your hand, then shuffle. Transmute only as a sorcery.)",['Creature']
Dimir Informant,['U'],['U'],3.0,15362.0,['Surveil'],1,"['Human', 'Rogue']","When Dimir Informant enters the battlefield, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",['Creature']
Dimir Locket,"['B', 'U']",[],3.0,3328.0,nan,,[],"{T}: Add {U} or {B}.
{U/B}{U/B}{U/B}{U/B}, {T}, Sacrifice Dimir Locket: Draw two cards.",['Artifact']
Dimir Machinations,['B'],['B'],3.0,6937.0,['Transmute'],,[],"Look at the top three cards of target player's library. Exile any number of those cards, then put the rest back in any order.
Transmute {1}{B}{B} ({1}{B}{B}, Discard this card: Search your library for a card with the same mana value as this card, reveal it, put it into your hand, then shuffle. Transmute only as a sorcery.)",['Sorcery']
Dimir Spybug,"['B', 'U']","['B', 'U']",2.0,13590.0,"['Flying', 'Menace']",1,['Insect'],"Flying
Menace (This creature can't be blocked except by two or more creatures.)
Whenever you surveil, put a +1/+1 counter on Dimir Spybug.",['Creature']
Din of the Fireherd,"['B', 'R']","['B', 'R']",8.0,13811.0,nan,,[],"Create a 5/5 black and red Elemental creature token. Target opponent sacrifices a creature for each black creature you control, then sacrifices a land for each red creature you control.",['Sorcery']
Dingus Staff,[],[],4.0,7979.0,nan,,[],"Whenever a creature dies, Dingus Staff deals 2 damage to that creature's controller.",['Artifact']
Dinosaur Stampede,['R'],['R'],3.0,10000.0,nan,,[],Attacking creatures get +2/+0 until end of turn. Dinosaurs you control gain trample until end of turn.,['Instant']
Dinrova Horror,"['B', 'U']","['B', 'U']",6.0,12278.0,nan,4,['Horror'],"When Dinrova Horror enters the battlefield, return target permanent to its owner's hand, then that player discards a card.",['Creature']
Diplomacy of the Wastes,['B'],['B'],3.0,21631.0,nan,,[],"Target opponent reveals their hand. You choose a nonland card from it. That player discards that card. If you control a Warrior, that player loses 2 life.",['Sorcery']
Diplomatic Escort,['U'],['U'],2.0,14653.0,nan,1,"['Human', 'Spellshaper']","{U}, {T}, Discard a card: Counter target spell or ability that targets a creature.",['Creature']
Diplomatic Immunity,['U'],['U'],2.0,4021.0,"['Enchant', 'Shroud']",,['Aura'],"Enchant creature
Shroud (A permanent with shroud can't be the target of spells or abilities.)
Enchanted creature has shroud.",['Enchantment']
Dire Fleet Captain,"['B', 'R']","['B', 'R']",2.0,7753.0,nan,2,"['Orc', 'Pirate']","Whenever Dire Fleet Captain attacks, it gets +1/+1 until end of turn for each other attacking Pirate.",['Creature']
Dire Fleet Hoarder,['B'],['B'],2.0,7443.0,nan,2,"['Human', 'Pirate']","When Dire Fleet Hoarder dies, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")",['Creature']
Dire Fleet Interloper,['B'],['B'],4.0,16643.0,"['Explore', 'Menace']",2,"['Human', 'Pirate']","Menace
When Dire Fleet Interloper enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",['Creature']
Dire Fleet Neckbreaker,"['B', 'R']","['B', 'R']",4.0,7146.0,nan,3,"['Orc', 'Pirate']",Attacking Pirates you control get +2/+0.,['Creature']
Dire Fleet Warmonger,"['B', 'R']","['B', 'R']",3.0,16895.0,nan,3,"['Orc', 'Pirate']","At the beginning of combat on your turn, you may sacrifice another creature. If you do, Dire Fleet Warmonger gets +2/+2 and gains trample until end of turn. (It can deal excess combat damage to the player or planeswalker it's attacking.)",['Creature']
Dire Tactics,"['B', 'W']","['B', 'W']",2.0,2380.0,nan,,[],"Exile target creature. If you don't control a Human, you lose life equal to that creature's toughness.",['Instant']
Dire Undercurrents,"['B', 'U']","['B', 'U']",5.0,8259.0,nan,,[],"Whenever a blue creature enters the battlefield under your control, you may have target player draw a card.
Whenever a black creature enters the battlefield under your control, you may have target player discard a card.",['Enchantment']
Direct Current,['R'],['R'],3.0,17096.0,['Jump-start'],,[],"Direct Current deals 2 damage to any target.
Jump-start (You may cast this card from your graveyard by discarding a card in addition to paying its other costs. Then exile this card.)",['Sorcery']
Diregraf Escort,['G'],['G'],1.0,22342.0,['Soulbond'],1,"['Human', 'Cleric']","Soulbond (You may pair this creature with another unpaired creature when either enters the battlefield. They remain paired for as long as you control both of them.)
As long as Diregraf Escort is paired with another creature, both creatures have protection from Zombies.",['Creature']
Dirge Bat,['B'],['B'],4.0,3917.0,"['Flash', 'Flying', 'Mutate']",3,['Bat'],"Mutate {4}{B}{B} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Flash
Flying
Whenever this creature mutates, destroy target creature or planeswalker an opponent controls.",['Creature']
Dirge of Dread,['B'],['B'],3.0,11688.0,['Cycling'],,[],"All creatures gain fear until end of turn. (They can't be blocked except by artifact creatures and/or black creatures.)
Cycling {1}{B} ({1}{B}, Discard this card: Draw a card.)
When you cycle Dirge of Dread, you may have target creature gain fear until end of turn.",['Sorcery']
Dirgur Nemesis,['U'],['U'],6.0,20245.0,"['Defender', 'Megamorph']",6,['Serpent'],"Defender
Megamorph {6}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)",['Creature']
Dirtwater Wraith,['B'],['B'],4.0,21554.0,['Swampwalk'],1,['Wraith'],"Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)
{B}: Dirtwater Wraith gets +1/+0 until end of turn.",['Creature']
Dirty Wererat,['B'],['B'],4.0,16742.0,['Threshold'],2,"['Human', 'Rat', 'Minion']","{B}, Discard a card: Regenerate Dirty Wererat.
Threshold — As long as seven or more cards are in your graveyard, Dirty Wererat gets +2/+2 and can't block.",['Creature']
Disallow,['U'],['U'],3.0,984.0,nan,,[],"Counter target spell, activated ability, or triggered ability. (Mana abilities can't be targeted.)",['Instant']
Disappear,['U'],['U'],4.0,21671.0,['Enchant'],,['Aura'],"Enchant creature
{U}: Return enchanted creature and Disappear to their owners' hands.",['Enchantment']
Disappearing Act,['U'],['U'],3.0,11703.0,nan,,[],"As an additional cost to cast this spell, return a permanent you control to its owner's hand.
Counter target spell.",['Instant']
Disarm,['U'],['U'],1.0,21459.0,nan,,[],Unattach all Equipment from target creature.,['Instant']
Disciple of Deceit,"['B', 'U']","['B', 'U']",2.0,8769.0,['Inspired'],1,"['Human', 'Rogue']","Inspired — Whenever Disciple of Deceit becomes untapped, you may discard a nonland card. If you do, search your library for a card with the same mana value as that card, reveal it, put it into your hand, then shuffle.",['Creature']
Disciple of Grace,['W'],['W'],2.0,18578.0,"['Cycling', 'Protection']",1,"['Human', 'Cleric']","Protection from black
Cycling {2} ({2}, Discard this card: Draw a card.)",['Creature']
Disciple of Griselbrand,['B'],['B'],2.0,7201.0,nan,1,"['Human', 'Cleric']","{1}, Sacrifice a creature: You gain life equal to the sacrificed creature's toughness.",['Creature']
Disciple of Kangee,"['U', 'W']",['W'],3.0,24061.0,nan,2,"['Human', 'Wizard']","{U}, {T}: Target creature gains flying and becomes blue until end of turn.",['Creature']
Disciple of Law,['W'],['W'],2.0,19698.0,"['Cycling', 'Protection']",1,"['Human', 'Cleric']","Protection from red
Cycling {2} ({2}, Discard this card: Draw a card.)",['Creature']
Disciple of Malice,['B'],['B'],2.0,17924.0,"['Cycling', 'Protection']",1,"['Human', 'Cleric']","Protection from white
Cycling {2} ({2}, Discard this card: Draw a card.)",['Creature']
Disciple of Phenax,['B'],['B'],4.0,16216.0,nan,1,"['Human', 'Cleric']","When Disciple of Phenax enters the battlefield, target player reveals a number of cards from their hand equal to your devotion to black. You choose one of them. That player discards that card. (Each {B} in the mana costs of permanents you control counts toward your devotion to black.)",['Creature']
Disciple of the Old Ways,"['G', 'R']",['G'],2.0,22343.0,nan,2,"['Human', 'Warrior']",{R}: Disciple of the Old Ways gains first strike until end of turn.,['Creature']
Disciple of the Ring,['U'],['U'],5.0,9542.0,nan,3,"['Human', 'Wizard']","{1}, Exile an instant or sorcery card from your graveyard: Choose one —
• Counter target noncreature spell unless its controller pays {2}.
• Disciple of the Ring gets +1/+1 until end of turn.
• Tap target creature.
• Untap target creature.",['Creature']
Disciple of the Vault,['B'],['B'],1.0,1168.0,nan,1,"['Human', 'Cleric']","Whenever an artifact is put into a graveyard from the battlefield, you may have target opponent lose 1 life.",['Creature']
